Названия строк;1;2;3;4;5;6;7;8;9;10;11;12
00000000-0000-0000-0000-000000000000;13 283;12 719;19 699;22 408;26 198;33 620;45 155;35 253;52 534;71 325;39 198;16 633
ADA9E152-FFF3-11E5-A2CC-005056A2384C;14 235;18 064;18 476;18 961;23 425;31 630;33 433;38 356;35 628;36 798;54 726;58 839
81ABCFE2-F929-4943-A866-87A35A91C5CC;21 040;17 924;20 634;24 809;22 657;28 711;33 557;38 740;41 323;40 614;38 259;36 931
819CF3C9-1EDC-11E9-90E2-005056A27BA9;9 755;15 676;19 654;19 435;17 809;21 526;21 336;22 584;26 432;27 046;30 860;32 896
64EC49C7-A534-4497-ABE3-6EA93C08BFF1;8 554;15 682;18 938;18 642;13 349;22 464;22 127;23 380;25 653;22 554;19 241;18 679
25C6F113-C020-11E5-8E25-00505602071E;9 518;10 367;17 569;17 531;15 598;15 336;14 794;16 425;23 354;18 111;20 902;27 871
31793C14-E298-11E4-A937-005056020188;11 073;13 557;19 422;20 256;16 437;18 578;19 712;18 572;18 165;18 794;15 200;15 409
258F28CD-DDB4-11E8-9731-005056A27BA9;11 185;11 725;12 945;14 946;15 578;17 914;15 459;17 003;19 730;18 084;22 645;24 278
4FD59363-AA9D-11E7-9B6C-005056A225F3;8 648;9 988;14 904;14 798;10 741;13 220;17 440;20 249;20 700;18 040;17 450;23 938
00000000-0000-0000-0000-050382697589;5 972;10 693;12 505;15 105;14 368;20 635;23 130;20 642;17 040;14 964;15 470;19 416
12E8F03B-8BFF-11E8-A7D5-005056A225F3;7 003;11 396;12 738;10 561;13 129;18 614;18 353;14 385;12 859;12 508;13 980;16 717
00000000-0000-0000-0000-050984831839;6 678;9 262;13 246;13 716;11 273;14 358;16 729;15 330;15 848;14 124;16 047;15 003
EEAC0E15-8C6F-11E5-A564-00505602071E;3 382;4 086;7 211;9 444;8 424;9 122;10 459;13 482;15 157;21 518;23 796;29 725
F8EB29DF-1C0A-11E6-9D6C-005056A2384C;5 131;9 680;8 802;9 344;9 096;16 135;19 471;13 688;11 604;11 451;12 638;11 813
25397CD5-1B92-11E7-8B42-005056A225F3;3 130;6 472;9 643;9 752;8 896;14 024;13 530;11 200;11 750;11 519;10 569;12 259
7366D5B2-0773-11E9-84EC-005056A27BA9;4 528;4 106;6 083;8 502;8 070;12 817;11 197;12 765;13 774;10 940;10 953;10 268
FF59262F-B8B9-4AB0-9B20-4F0982621F9B;3 629;3 136;5 457;7 983;7 031;8 164;10 562;14 114;12 262;10 172;10 215;7 784
00000000-0000-0000-0000-050432889099;2 407;3 484;7 631;7 537;9 362;8 747;11 074;9 442;8 010;8 088;10 764;9 998
551E67A3-36B2-44E6-A3F9-93C356F35A59;4 875;5 596;7 264;7 203;6 849;7 306;6 795;6 740;9 424;10 521;9 040;11 461
00000000-0000-0000-0000-051700911397;4 357;6 482;7 083;6 414;7 058;7 480;8 421;8 644;10 062;7 201;7 961;8 659
00000000-0000-0000-0000-000308754028;1 369;1 748;2 595;5 141;6 251;7 338;9 036;7 943;7 778;11 293;12 176;13 193
00000000-0000-0000-0000-051619559261;2 471;5 102;6 205;7 918;8 830;9 880;5 370;6 785;3 193;4 882;8 412;15 284
87CFF456-53CA-11E6-B059-005056A2384C;1 600;3 026;3 542;3 954;4 849;10 070;8 715;8 062;11 127;8 564;9 237;11 289
1AF24F91-CFC7-11E5-A152-00505602071E;4 144;4 675;6 120;5 665;4 846;6 128;5 687;8 144;9 133;9 161;11 334;8 431
81621037-4875-496A-992F-283C6CA6535F;2 066;2 264;4 120;4 770;4 881;6 515;8 132;6 927;9 703;12 176;9 394;10 887
